|6.6.6
PYR-Ringwood88_2.tab                                                                                
           2
T(K)    
   400.00360000000001     
   19.999960000020000     
         181
P(bar)  
   15001.334999999999     
   5114.9322988556905     
         262
           8
T(K)           P(bar)         rho,kg/m3      alpha,1/K      cp,J/K/kg      vp,km/s        vs,km/s        h,J/kg  
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
2500 1349999. 5700 0.1233257E-04 1230.19 13.6664 6.7319 1.5896E+08
